/* Question 1 */
customer_name	
Mara Hudson	
Malachi Baxter	
Mark Franks	
May Reese	
Mariko Frederick	
Madonna Foreman	
Marvin Rich	
Macy Holman	

/*Question 2*/
order_id	TotalItems	TotalDollarAmount	
1	            1       	3772	
2	            1       	113675	
4	            1       	63408	
7	            2       	112256	
8	            3       	115217	
11	            2       	30558	
14	            1       	207475	
15	            2       	143171	
17	            3       	78385	
18	            4       	220062	
19	            1       	10959	
20	            2       	45245	
22	            1       	9094	
23	            3       	173920	
25	            1       	55212	
26	            2       	148444	
28	            3       	94516	
29	            2       	40395	
31	            1       	59720	
32	            1       	440	
33	            3       	59366	
34	            4       	141024	
35	            3       	97636	
37	            3       	69299	
38	            3       	223593	
39	            3       	205654	
41	            1       	17808	
42	            2       	23466	
43	            1       	13485	
44	            4       	333770	
45	            3       	54640	
46	            2       	15442	
47	            1       	7944	
48	            1       	43568	
49	            2       	124332	
50	            1       	20027	
51	            2       	106100	
54	            1       	28848	
55	            1       	38072	
56	            1       	117860	
57	            1       	192402	
58	            1       	49020	
60	            2       	65032	
61	            3       	140023	
64	            2       	124638	
65	            1       	50892	
66	            2       	88275	
67	            3       	211750	
68	            4       	102159	
69	            5       	379696	
71	            1       	15444	
72	            3       	172527	
73	            1       	61145	
74	            3       	178725	
75	            3       	169335	
76	            1       	73967	
77	            4       	438586	
78	            1       	2228	
80	            3       	126673	
87	            4       	144964	
89	            1       	125799	
90	            4       	489824	
91	            2       	109984	
92	            2       	189006	
93	            2       	35761	
94	            2       	54002	
95	            1       	38927	
98	            1       	104856	
100	            1       	56648	
102	            2       	42774	
104	            3       	94523	
105	            1       	76740	
106	            1       	6795	
107	            1       	45248	
108	            1       	61140	
110	            3       	340608	
111	            5       	181006	
112	            1       	92694	
113	            1       	81224	
114	            4       	172941	
115	            4       	229555	
116	            1       	57440	
117	            3       	131492	
118	            2       	21312	
119	            2       	29822	
120	            4       	144218	
123	            1       	2510	
125	            1       	148470	
126	            3       	104868	
127	            2       	193820	
129	            2       	45240	
131	            1       	25134	
132	            3       	159452	
135	            4       	226181	
136	            1       	10955	
138	            3       	202312	
140	            1       	185058	
141	            2       	120334	
142	            1       	73360	
143	            2       	67107	
144	            1       	36839	
145	            2       	240704	
146	            1       	117540	
148	            2       	59293	
149	            2       	192512	
150	            2       	180017	
151	            4       	364202	
152	            3       	149788	
153	            1       	24508	
154	            4       	131760	
155	            1       	139480	
156	            2       	34595	
157	            2       	113091	
158	            2       	165137	
160	            1       	41106	
161	            4       	118421	
162	            1       	13065	
163	            4       	266843	
164	            3       	142696	
166	            2       	51742	
167	            1       	9405	
168	            1       	13090	
169	            2       	75024	
171	            3       	53577	
172	            2       	29669	
173	            1       	69286	
174	            2       	48274	
176	            3       	19286	
178	            2       	184421	
